UniqueID,Class,Order,Family,ScientificName,CommonName,Plate,Ref,MichiganSleepingBear,GreatSmokyMountains,Acadia,YellowstoneGrandTeton,Glacier,JoshuaTree,Zion,Saguaro,MichiganIsleRoyale,Everglades,NorthCascadesOlympic,Redwoods,Yosemite,Habitat,SizeMinimumInches,SizeMaximumInches,Notes,DailyActivity,YearlyActivity,IUCN,Diet,Predators
H0038,Amphibia,Anura,Pelobatidae,Scaphiopus holbrookiI,Eastern Spadefoot,233,365,,RARE,,,,,,,,,,,,"Forested, brushy, or cultivated areas of sandy, gravelly, or loose loam. Not located in the higher elevations of the Appalachian Mountain range.",1.75,3.25,They primarily make burrows where the soil is easy for them to dig with the spade-like protrusions on their hind legs.It is often found on damp summer nights at the mouth of its burrow.,Nocturnal,Spring Summer Fall,Least Concern,"Invertebrates, insects, arachnids, termites, worms, and larvae.","Other toads, bullfrogs, snakes, and mammals."
H0039,Amphibia,Anura,Pelobatidae,Scaphiopus couchii,Couchs Spadefoot,252,363,,,,,,,,COMMON,,,,,,Tolerant of dry terrain; likes shortgrass prairie as well as mesquite savannah and creosote bush desert. Seeks shelter under fallen logs.,2.25,3.5,"During dry periods, this toad stays underground in the burrow of a small mammal or buried in loose soil. Is nocturnal and active during rainy conditions. It burrows deeply underground, digging backwards using its hind feet.",Nocturnal,Spring Summer Fall,Least Concern,Insects.,"Snakes, coyotes, and burrowing owls."
H0040,Amphibia,Anura,Ranidae,Rana aurora,Northern Red-legged Frog,"208, 215",369,,,,,,,,,,,COMMON / COMMON,COMMON,,"Usually found near ponds or intermittent streams with extensive vegetation. These well vegetated areas along rivers are needed for escaping predators, for shade to maintain cool water temperatures, and as shelter during the winter.Also likes damp woods.",2,5.375,Primarily diurnal.,Diurnal,Spring Summer Fall Winter,Least Concern,"Invertebrates, small mammals, and other amphibians. Larvae feed on algae.",Snakes and raccoons.
H0041,Amphibia,Anura,Ranidae,Rana cascadae,Cascades Frog,199,371,,,,,,,,,,,UNCOMMON / COMMON,,,"Mountain meadows, streams, ponds, and lakes above 3000ft, in the water and vegetation around it.",1.75,2.25,"Diurnal. It is frequently seen preying on insects or basking on a rock in or near the water. When threatened, it swims away instead of diving and hiding.",Diurnal,Spring Summer Fall Winter,Near Threatened,Aquatic and semi aquatic invertebrates.,Snakes and raccoons.
H0042,Amphibia,Anura,Ranidae,Rana grylio,Pig Frog,188,374,,,,,,,,,,ABUNDANT,,,,"Aquatic. Marshes, shores of lakes, ponds, or other waters with a dense cover of emergent or floating vegetation.",3.25,6.25,"The most aquatic of the bullfrogs, the Pig Frog spends most of its time floating among water hyacinth, cattails, or emergent sedges. Feeds extensively on crayfish.",Nocturnal,Spring Summer Fall Winter,Least Concern,Insects and crustaceans.,Humans
H0043,Amphibia,Anura,Ranidae,Rana luteiventris,Columbia Spotted Frog,,,,,,ABUNDANT/COMMON,,,,,,,UNCOMMON / N,,,"Their habitats are found generally near permanent bodies of water, which can include lakes, ponds, slow-moving streams, and marshes. Usually in places with strong sun exposure near water with floating vegetation, including beaver ponds, mountaintop wetlands, small lakes, boreal ponds, wet springs, and slow-moving stream edges. ",3,3.75,"Their primary defense strategy is to remain motionless and quiet; they may also dive into deeper water if threatened. If captured, they emit screams and may thrash about wildly. Evidence suggests that captured frogs may release a mild toxin from skin glands.",Diurnal,Spring Summer Fall,Least Concern,"Diet includes insects as well as crustaceans, mollusks, earthworms, and arachnids.","Garter snakes, fishes, and salamanders."
H0044,Amphibia,Anura,Ranidae,Lithobates catesbeianus,Bullfrog,"187, 190",372,UNCOMMON,COMMON,COMMON,N/COMMON,,,,,,,,COMMON,UNCOMMON,"Aquatic. Prefers ponds, lakes, and slow-moving streams large enough to avoid crowding and with sufficient vegetation to provide easy cover. The habitat surrounding these riparian areas vary from mixed coniferous and subalpine montane forests, to arid desert and arid grass and brushlands.",3.5,8,"It is usually found on the bank at the water's edge. When frightened, it will as soon flee into nearby vegetation as take to the water.",Any,Spring Summer Fall,Least Concern,"Snakes, worms, insects, crustaceans, frogs, tadpoles, eggs of fish, frogs, insects, or salamanders.","Great blue herons, egrets, kingfishers, turtles, water snakes, and raccoons."
H0045,Amphibia,Anura,Ranidae,Lithobates clamitans,Green Frog,"189, 213",373,UNCOMMON,UNKNOWN,COMMON,,,,,,UNKNOWN,,,,,"Lives close to shallow water, springs, swamps, brooks, and edges of ponds and lakes. May be found among rotting debris of fallen trees.",2.12,4,Primarily nocturnal. Green Frogs are not as wary as many other species of frog. They seldom scream in alarm when caught.,Any,Spring Summer Fall,Least Concern,"Moths, snails, and small fish.","Bullfrogs, crows, herons, minks, river otters, raccoons, snapping turtles, fish, and snakes."
H0046,Amphibia,Anura,Ranidae,Lithobates palustris,Pickerel Frog,201,377,UNKNOWN,UNCOMMON,ABUNDANT,,,,,,,,,,,"Slow-moving water and other damp areas, preferable with low, dense vegetation; streams, swamps, and meadows.",1.75,3.5,An irritating skin secretion makes this frog unappetizing to some predators.,Nocturnal,Spring Summer Fall,Least Concern,Small insects and other invertebrates.,Bullfrogs and snakes.
H0047,Amphibia,Anura,Ranidae,Lithobates sphenocephalus sphenocephalus,Southern Leopard Frog,"191, 204",379,,,,,,,,,,ABUNDANT,,,,"Any freshwater location. Wanders among moist vegetation in the summer, returns to freshwater ponds and streams and brackish marshes rest of year.",2,5,"During the day, it hides in grass or sedges of sunny banks. To elude a predator, this frog dives into the water, makes a sharp turn while still submerged, and surfaces amid vegetation at the water's edge; meanwhile the predator continues to search in the direction of the original dive.",Nocturnal,Spring Summer Fall Winter,Least Concern,"Insects, crayfish, and other invertebrates.","Fish, raccoons, skunks, and aquatic snakes."
H0048,Amphibia,Anura,Ranidae,Lithobates pipiens,Northern Leopard Frog,"192, 203",377,ABUNDANT,,,N/UNKNOWN,,,UNKNOWN,,UNKNOWN,,,,,From freshwater sites with profuse vegetation to brackish marshes and moist fields; from desert to mountain meadow.,2,5,"When pursued on land, it flees in zigzag leaps to the security of water.",Nocturnal,Spring Summer Fall,Least Concern,"Terrestrial invertebrates, including spiders, insects and their larvae, slugs, snails, and earthworms.","Fish, herons, frogs, garter and water snakes, raccoons, foxed, mink, and otters."
H0049,Amphibia,Anura,Ranidae,Lithobates sylvaticus,Wood Frog,"211, 212, 214, 216",380,UNCOMMON,COMMON,COMMON,,,,,,UNCOMMON,,,,,"Inhabit a wide variety of habitats including tundra, thickets, wet meadows, bogs, coniferous and deciduous forests. Aquatic breeders and require fish-free seasonal or semi-permanent bodies of water to reproduce. These frogs seek out terrestrial locations with ample cover to hibernate which may or may not be near a breeding pond.",1.25,3.25,"Though amass  at breeding ponds,these frogs are mostly solitary. ",Diurnal,Spring Summer Fall,Least Concern,"A variety of terrestrial insects and small invertebrates, especially spiders, beetles, moth larvae, slugs, and snails.","Larger frogs, garter snakes, water snakes, herons, raccoons, skunks, and mink."
H0050,Amphibia,Anura,Microhylidae,Gastrophryne carolinensis,Eastern Narrow-Mouthed Toad,219,383,,RARE,,,,,,,,,,,,"Near water, especially along the edge of ponds or ditches and under moist debris and decaying vegetative matter.",1,1.5,"Eats a variety of insects but prefers ants. A prodigious burrower, it can disappear into leaf litter or loose soil in a minute or two. These animals can be found by turning boards, logs, or other shelters. They can be found in vegetable debris as well.",Nocturnal,Spring Summer Fall,Least Concern,"Insects like beetles, termites, and ants.",Snakes.
H0051,Amphibia,Anura,Bufonidae,Bufo americanus,American Toad,237,387,COMMON,ABUNDANT,UNCOMMON,,,,,,COMMON,,,,,Common in a variety of habitats from mowed grassy yards to heavily forested mountains; wherever they are abundant insects and moisture.,2,4.4,"A prodigious insect eater. During daylight hours they seek cover beneath porches, under boardwalks, flat stones, boards, logs, wood  piles, or other cover. Most active when the weather is warm and humid.",Nocturnal,Spring Summer Fall,Least Concern,"A wide variety of insects, including snails, beetles, slugs, and earthworms.",Snakes.
H0052,Amphibia,Anura,Bufonidae,Anaxyrus boreas boreas,Boreal Toad,"226, 240, 243",388,,,,N/ UNCOMMON,UNCOMMON,,,,,,COMMON / UNCOMMON,COMMON,UNKNOWN,"Near springs, streams, meadows, and woodlands. Suitable habitat includes mixed conifer forest, alpine meadows, ponderosa pine forests, chaparral, aspen groves,  and riparian forests.",2.5,5,"Active at twilight. At higher elevations, where nighttime temperatures are low, it is often active during the day. It lives in burrows  of its own construction or those of small rodents.",Any,Spring Summer Fall,Least Concern,A wide variety of insects and invertebrates as well as aquatic and non aquatic plants.,"Coyotes, ravens, snakes, and raccoons."
H0053,Amphibia,Anura,Bufonidae,Bufo cognatus,Great Plains Toad,247,389,,,,,,,UNCOMMON,,,,,,,"Grasslands of the prairie and drier bushy areas. These toads frequent irrigation canals, floodplains of rivers, temporary rain pools, and reservoirs.",2,4.5,"Primarily nocturnal, but sometimes found foraging on cloudy,  rainy days. Prefers loose soil where burrowing is easy. When in danger, it inflates, closes its eyes, and lowers it head to the ground.",Any,Spring Summer,Least Concern,"Flies, moths, and beetles.",Raccoons and snakes.
H0054,Amphibia,Anura,Bufonidae,Bufo punctatus,Red-Spotted Toad,234,394,,,,,,COMMON,COMMON,COMMON,,,,,,"Desert and rocky regions and prairie grasslands, usually near source of permanent water or dampness. From sea level to 6000ft.",1.5,3,Active at twilight. Most often seen at breeding choruses.,Nocturnal,Spring Summer Fall,Least Concern,"Ants, beetles, bees, and bugs.","Snakes, birds, and small mammals."
H0055,Amphibia,Anura,Bufonidae,Bufo terrestris,Southern Toad,"236, 241",397,,,,,,,,,,COMMON,,,,Abundant in open scrub oak where the soil is sandy and easily burrowed.,1.5,4.5,"Spends the day inside its burrow. It is often found near suburban areas near houses, where it feeds on insects drawn to night lights.",Nocturnal,Spring Summer Fall Winter,Least Concern,A variety of insects and invertebrates.,"Snakes, birds, and small mammals."
H0056,Amphibia,Anura,Bufonidae,Bufo quercicus,Oak Toad,250,395,,,,,,,,,,COMMON,,,,"It is found in a variety of habitats, including sandy pine flatwoods and oak scrub, open pine and pine-oak woods, pine or oak savanna with sandy soils, and maritime forests. Oak toads prefer open-canopied pine flatwoods with grassy ground cover, and they are generally found in moist, grassy areas near pine or oak savannahs with sandy soil. They are also found in vernal pools and freshwater wetlands.",0.75,1.25,Spends the day insect hunting among the debris of brushy undergrowth. Camouflage coloration makes resting toads difficult to spot. ,Diurnal,Spring Summer Fall Winter,Least Concern,Terrestrial insects and other small arthropods.,Snakes and frogs.
H0057,Amphibia,Anura,Bufonidae,Bufo marinus,Cane Toad,242,393,,,,,,,,,,UNCOMMON,,,,Various humid sites with adequate hiding places.,4,9.5,Primarily nocturnal. It is the most widely introduced amphibian in the world. A milky secretion from the Giant Toad's parotoid glands is highly toxic; it will burn the eyes and inflame the skin.,Nocturnal,Spring Summer Fall Winter,Least Concern,"Ants, beetles, and earwigs.",Humans.
H0058,Amphibia,Anura,Hylidae,Acris crepitans,Northern Cricket Frog,153,400,UNKNOWN,UNKNOWN,,,,,,,,,,,,Sunny ponds of shallow water with good growth of vegetation in the water or on shore; slow-moving streams with sunny banks.,0.5,1.5,These frogs are often abundant but are difficult to catch as they hop among the grass at the water's edge.,Diurnal,Spring Summer Fall,Least Concern,"Insects, but also some spiders.","Bullfrogs, fish, snakes, and birds."
H0059,Amphibia,Anura,Hylidae,Acris gryllus dorsalis,Florida Cricket Frog,162,401,,,,,,,,,,ABUNDANT,,,,"Margins of swamps, marshes, lakes, streams, and roadside ditches.",0.6,1.25,It is active throughout the day and a strong jumper. A quick walk along the water's edge will usually flush cricket frogs from cover.,Diurnal,Spring Summer Fall Winter,Least Concern,A variety of insects with a major part of their diet being mosquitoes. ,"Fish, wading birds, salamanders, turtles, and snakes."
H0060,Amphibia,Anura,Hylidae,Osteopilus septentrionalis,Cuban Treefrog,"155, 178",410,,,,,,,,,,COMMON,,,,"Moist and shady places in trees and shrubs, or around houses.",1.5,5.5,"Highly predaceous, it will eat anything it can catch and swallow. Is most abundant around ornamental fishponds and well lit patios. ",Nocturnal,Spring Summer Fall,Least Concern,"Beetles, roaches, and vertebrates such as other frogs, toads, and lizards.","Rat snakes, garter snakes, crowns, anoles, and humans."
H0061,Amphibia,Anura,Hylidae,Hyla squirella,Squirrel Treefrog,"147, 174",409,,,,,,,,,,ABUNDANT,,,,"Any habitat with moisture and insects. Adults hide under loose bark, on the underside of palm leaves, or in hollow tree holes.",0.7,1.6,"Commonly heard before and after summer showers. Nocturnal and very active. An efficient predator, it can be seen catching insects around patio lights. During the day it hides under roof flashing or in garden shrubs; sometimes dozens are found huddled together.",Nocturnal,Spring Summer Fall Winter,Least Concern,"A range of arthropods such as flies, beetles, grasshoppers, crickets, and spiders.","Snakes, amphibians, small mammals, and birds."
H0062,Amphibia,Anura,Hylidae,Hyla cinerea,Green Treefrog,146,405,,,,,,,,,,ABUNDANT,,,,"Vegetation near permanent water. During the day frequently found asleep on underside of large leaves or in other moist, shady, places. They are frequently found in small ponds, large lakes, marshes, and streams. They prefer habitats with plentiful floating vegetation, grasses, and cattails.",1.25,2.5,"They congregate in large choruses of several hundred. A typical treefrog, this species prefers to walk rather than jump. When fleeing a predator in the trees it takes gangly leaps into space.",Nocturnal,Spring Summer Fall Winter,Least Concern,"Flies, mosquitoes, and other small insects.","Snakes, birds, large fish, and other frogs."
H0063,Amphibia,Anura,Hylidae,Hyla arenicolor,Canyon Treefrog,159,402,,,,,,,COMMON,UNCOMMON,,,,,,"Arid areas close to rocky washes, streams. and permanent pools. Found on rocks rather than trees.",1.25,2.25,"Often seen along water courses. During the day it can be found hiding among rocks or in stony crevices near streams, camouflaged by its color.",Nocturnal,Spring Summer Fall Winter,Least Concern,"Small invertebrates, including ants, spiders, beetles, and flies.","Snakes, birds, and mammals."
H0064,Amphibia,Anura,Hylidae,Hyla chrysoscelis,Cope's Gray Treefrog,"152, 157, 160",404,UNKNOWN,UNCOMMON,,,,,,,,,,,,"Cope's gray treefrogs inhabit all elevations of wooded areas near temporary and permanent waters in such diverse surroundings as swamps, ponds, lakes, old fields, thickly wooded suburban neighborhoods, farm woodlots, and mixed or deciduous forests. During the summer months, they rest in damp rotten logs or hollow trees emerging to feed. In winter, Cope's gray treefrogs hibernate on land, and maybe found under woody debris logs, roots and leaf litter",1.25,2.25,"Their high tolerance for freezing temperatures enabled the gray treefrogs to expand their territory northward and towards higher elevations. They mostly hunt insects in the understory of wooded areas in small trees and shrubs, where they may rely upon their camouflage with less risk of predation.",Nocturnal,Spring Summer Fall,Least Concern,"Moths, mites, spiders, harvestmen, and snails.","Birds, snakes, other frogs, and small mammals."
H0065,Amphibia,Anura,Hylidae,Pseudacris crucifer,Spring Peeper,173,406,COMMON,COMMON,ABUNDANT,,,,,,COMMON,,,,,"This frog is found in marshy woods and non-wooded lowlands near ponds and swamps. Although it is a good climber, spring peepers seem to prefer to be on the ground or hiding in leaf litter.",0.75,1.3,Its chorus is one of the first signs of spring. They hibernate under logs and loose bark.,Nocturnal,Spring Summer Fall,Least Concern,"Ants, beetles, flies, and spiders.","Salamanders, owls, large spiders, snakes, and other birds."
H0066,Amphibia,Anura,Hylidae,Pseudacris brachyphona,Mountain Chorus Frog,163,411,,UNKNOWN,,,,,,,,,,,,"Mountain chorus frogs live mostly in higher elevations throughout Appalachia and have been discovered at elevations as high as 1050 meters. During their mating season, their most common habitats are small grassy vernal ponds or temporary rainwater pools. After the mating season, they travel to higher elevations and drier land.",1,1.5,It behaves more like a wood frog than a tree frog in that it tends to leap more than walk.,Nocturnal,Spring Summer Fall,Least Concern,"Beetles, spiders, bugs, ants, leafhoppers, earthworms, and butterfly and moth larvae.","Fish, insects, and other frogs."
H0067,Amphibia,Anura,Hylidae,Pseudacris triseriata maculata,Boreal Chorus Frog,179,415,,,,ABUNDANT/COMMON,RARE,,,,,,,,,This species can be found around permanent water bodies in cleared land and forest.,0.75,1.5,May be heard calling on warm nights in early spring even before all the ice has disappeared from the water. At the slightest threat they disappear beneath the surface.,Nocturnal,Spring Summer Fall,Least Concern,"Beetles, flies, crickets, grasshoppers, ants, and spiders.","Salamanders, fish, snakes, birds, and mammals."
H0068,Amphibia,Anura,Hylidae,Pseudacris regilla,Pacific Treefrog,"148, 170, 182",408,,,,,,,,,,,UNCOMMON / COMMON,ABUNDANT,COMMON,"On the ground among shrubs and grass, close to water. They are found near springs, ponds, streams, swamps, and other moist places. They will live in damp recesses among rocks and logs and in dense vegetation.",0.75,2,"This commonly heard frog of the Pacific coast, active both day and night, is found from sea level to over 10,000 feet. ",Any,Spring Summer Fall Winter,Least Concern,"Gnats, flies, and mosquitoes.","Salamanders, fish, snakes, birds, and mammals."
H0069,Amphibia,Anura,Hylidae,Pseudacris ocularis,Little Grass Frog,172,410,,,,,,,,,,ABUNDANT,,,,"Climbs among grass and sedges near roadside ditches, pond margins, and cypress bays.",0.5,0.6,"It is a true treefrog despite its small size and preference for perches within one to two feet of the ground. It is usually found clinging to upright stems, with head cocked to one side, looking for prey. Despite their small size, they can jump about 20 times their body length which can help them escape predators.",Nocturnal,Spring Summer Fall Winter,Least Concern,"Springtails, ants, and thrips.","Fish, larger frogs, and snakes."
H0070,Amphibia,Anura,Hylidae,Pseudacris nigrita verrucosa,Southern Chorus Frog,183,413,,,,,,,,,,COMMON,,,,"Its natural habitats are temperate forests, temperate grassland, shrub-dominated wetlands, swamps, freshwater marshes, intermittent freshwater marshes, ponds, open excavations, seasonally flooded agricultural land, and canals and ditches. ",0.75,1.25,The tiny toe pads limit its climbing ability. It burrows into the banks of ponds and ditches.,Nocturnal,Spring Summer Fall Winter,Least Concern,Ants and beetles.,"Birds, salamanders, and snakes."
H0071,Amphibia,Anura,Eleutherodactylidae,Eleutherodactylus planirostris,Greenhouse Frog,171,419,,,,,,,,,,ABUNDANT,,,,"They are usually found on the forest floor, where they hide under logs, leaf litter, debris, and in crevices along stream banks. Adults are common in moist substrates, and, in residential areas, can be found in greenhouses and gardens, and beneath mulch, boards, or stones.",0.6,1.25,On humid nights it is frequently seen foraging on lawns. ,Nocturnal,Spring Summer Fall,Least Concern,"Ants, beetles, and roaches.","Frogs, lizards, snakes, birds, and mammals."
H0072,Reptilia,Testudines,Chelydridae,Chelydra serpentina,Snapping Turtle,"322, 323, 324",435,UNCOMMON,COMMON,COMMON,,,,,,UNKNOWN,,,,,Freshwater. Likes soft mud bottoms and abundant vegetation. Also enters brackish waters.,8,18.5,"Highly aquatic, it likes to rest in warm shallows, often buried in mud, with only its eyes and nostrils exposed. It emerges in April from a winter retreat beneath an overhanging mudbank, under vegetative debris, or inside a muskrat lodge. An excellent swimmer. Snappers strike viciously when lifted from water or teased and can inflict a serious bite.",Diurnal,Spring Summer Fall,Least Concern,"Carrion, invertebrates, fish, birds, small mammals, amphibians, and aquatic vegetation.","The eggs and hatchlings of snapping turtles may be eaten by other large turtles, great blue herons, raccoons, skunks, foxes, large predatory fish, and snakes. Once they become larger, there are few animals that prey on them."
H0073,Reptilia,Testudines,Kinosternidae,Kinosternon baurii,Striped Mud Turtle,317,438,,,,,,,,,,COMMON,,,,"Cypress swamps, sloughs, ponds, drainage canals, and wet meadows.",3,4.74,Our most terrestrial mud turtle; it is often observed crossing roads and visiting puddles after downpours. ,Nocturnal,Spring Summer Fall Winter,Least Concern,"Insects, snails, fish, carrion, algae, and plants.","Raccoons, herons, and alligators."
H0074,Reptilia,Testudines,Kinosternidae,Kinosternon sonoriense,Sonora Mud Turtle,314,441,,,,,,,,COMMON,,,,,,"Springs, water holes, ponds, and creeks. Desert, foothills, or in oak and pinon woodland and Ponderosa pine and Douglas fir forests at elevations up to 6700ft.",3.1,6.5,"During dry periods, they sometimes congregate in water holes. Sonora mud turtles were believed to be entirely aquatic, but recent studies have identified terrestrial movement. Turtles will occasionally move through desert or mountainous terrain to get from one body of water to others up to 300m away.",Any,Spring Summer Fall,Near Threatened,"Snails, fish, frogs, snakes, crayfish, and insects.",Most vulnerable as hatchlings or juveniles from crayfish.
H0075,Reptilia,Testudines,Kinosternidae,Sternotherus odoratus,Common Musk Turtle,319,445,,RARE,,,,,,,,UNCOMMON,,,,"Freshwater; prefers quiet or slow-moving shallow, muddy bottomed waters. Most often found in permanent wetlands such as ponds, lakes, or human-made impoundments where aquatic plants can provide sufficient food. They are also found frequently in streams, rivers, and swamps. They typically rest in shaded areas that are low enough for their carapaces to touch the ground. Most of their time is spent on the bottom of bodies of water.",3,5.3,"When disturbed, it secretes a foul smelling, yellowish fluid from two pairs of musk glands under the border of the carapace. Males are aggressive and bite readily. Their long neck can bring its jaws as far back as its hind limbs. In early spring it likes to bask in shallows or amid floating vegetation with the center of its carapace exposed to the sun. Highly aquatic, they rarely leave the water, but they will occasionally climb trees to bask.",Any,Spring Summer Fall,Least Concern,"Plants such as algae, water lilies, dragonflies, beetles, moths, and other insects. They also eat mollusks, crayfish, and worms.","Raccoons, striped skunks, foxes, otters, large wading birds, snakes, and snapping turtles."
H0076,Reptilia,Testudines,Emydidae,Chrysemys picta,Painted Turtle,"293, 294, 297",450,UNKNOWN,COMMON,COMMON,UNKNOWN/N,,,,,COMMON,,,,,"Slow-moving shallow streams, rivers, and lakes. Likes soft bottoms with vegetation and half-submerged logs.",4,9.8,The most widespread turtle in North America. It is fond of basking and often dozens can be observed on a single log. They are vigilant and seek refuge in the water and the slightest sign of danger. They can also retract their head and legs into the protection of their shell.,Diurnal,Spring Summer Fall,Least Concern,"Plants, small fish, crustaceans, aquatic insects, and some carrion. ","Raccoons, otters, mink, and foxes."
H0077,Reptilia,Testudines,Emydidae,Clemmys guttata,Spotted Turtle,290,453,UNKNOWN,,,,,,,,,,,,,"Marshy meadows, wet woodlands, boggy areas, beaver ponds, and shallow, muddy-bottomed streams.",3.5,5,"Frequently seen backing in the cooler spring months, it is difficult to find during the summer, when dense vegetation obscures its movements. It winters underwater in soft mud, accumulated debris, or muskrat burrows.",Diurnal,Spring Fall,Endangered,"Algae, aquatic plants, worms, mollusks, crustaceans, and carrion.",Raccoons and muskrats.
H0078,Reptilia,Testudines,Emydidae,Glyptemys insculpta,Wood Turtle,302,454,UNKNOWN,,UNKNOWN,,,,,,,,,,,"Cool streams in deciduous woodlands, red maple swamps, marshy meadows. Wood turtles are often described as a woodland species, but in some places they appear to thrive in a mosaic habitat of riparian woods, shrub or berry thickets, swamps, and open, grassy areas.",5,9,"An excellent climber. After spring downpours, it is often seen searching for worms in freshly plowed fields. Suffers from habitat loss. Spend much of their active time basking, whether on emergent logs and other debris along or over waterways or on land, while hidden in grass or shrub thickets.",Diurnal,Spring Summer Fall,Endangered,"Leaves and flowers of plants, fruits, fungi, slugs, snails, worms, and insects.","Raccoons, otters, coyotes, foxes, possums, herons, and skunks."
H0079,Reptilia,Testudines,Emydidae,Emys marmorata,Western Pond Turtle,303,455,,,,,,,,,,,,UNKNOWN,UNCOMMON,"Ponds and small lakes with abundant vegetation. Also seen in marshes, slow-moving streams, reservoirs, and occasionally in brackish water. Prefer areas that provide cover from predators, such as vegetation and algae, as well as basking sites for thermoregulation. Such cover also provides shelter when wintering.",3.5,7,"It is often observed basking alone. When disturbed, it will quickly dive into water. ",Diurnal,Spring Summer Fall,Vulnerable,"Crustaceans, fish, dragonflies, beetles, grasshoppers, and caddisflies.","Raccoons, coyotes, bears, otters, mink, snake, fish, and foxes."
H0080,Reptilia,Testudines,Emydidae,Emydoidea blandingi,Blanding's Turtle,291,458,UNKNOWN,,,,,,,,,,,,,"Lake shallows, ponds, marshes, and creeks with soft bottoms and dense aquatic vegetation. These reptiles will specifically live in ephemeral wetlands in attempts to keep away from predators that are more prevalent in permanent wetlands. They will also utilize the grasslands next to their freshwater shelters for living, especially during the summer.",5,10.5,"Very tolerant of cold temperatures. It is primarily aquatic but frequently comes on land to back or search for insects and snails. It is shy, and when disturbed, abandons its basking spot atop a muskrat lodge or log. Hardly ever bite.",Diurnal,Spring Summer Fall,Endangered,"Crayfish, insects, fish eggs, and some plants.","Shrews, skunks, raccoons, otters, and foxes."
H0081,Reptilia,Testudines,Emydidae,Graptemys geographica,Map Turtle,280,461,UNKNOWN,RARE,,,,,,,,,,,,"Slow-moving rivers and lakes with mud bottoms, abundant aquatic vegetation, and logjams.",5,9,This species can be found stacked upon another on a basking log. They are shy and will quickly slide into the water when disturbed. Large crushing jaws can break open freshwater clams and large snails.,Any,Spring Summer Fall,Least Concern,"Snails, clams, crayfish, insects, and some plant material.",Humans
H0082,Reptilia,Testudines,Emydidae,Terrapene carolina,Eastern Box Turtle,"304, 306, 308, 309",468,UNKNOWN,COMMON,,,,,,,,,,,,"Moist forested areas, but also wet meadows, pastures, and floodplains. Often found near streams and ponds.",4,8.5,"Usually seen early in the day, or after rain. When it gets too hot, they hide under decaying logs and leaves, crawl into mammal burrows, or in mud. When it gets very hot, they go into shady pools and puddles to cool off. In the spring and fall, they may be out foraging during all daylight hours, and they sometimes bask in the sun to get warm.",Diurnal,Spring Summer Fall,Vulnerable,"Snails, insects, berries, fungi, slugs, worms, flowers, fish, frogs, salamanders, and eggs.",Very few predators for adult specimens due to their ability to close their shells.
H0083,Reptilia,Testudines,Emydidae,Terrapene ornata,Western Box Turtle,"305, 307",469,,,,,,,,UNKNOWN,,,,,,"Primarily open prairies, also grazed pasturelands, open woodlands, and waterways in arid, sandy-soiled terrains. Their home ranges generally have a great deal of leaf coverage.",4,5.75,"In the morning, this turtle basks briefly, then searches for food. By midday, it seeks shady shelter. This turtle is often seen crossing roads after a downpour.",Diurnal,Spring Summer Fall,Vulnerable,"Earthworms, grasshoppers, beetles, slugs, fruits, and plants.","Coyotes, striped skunks, ravens, copperheads, raccoons, possums, and foxes."
H0084,Reptilia,Testudines,Emydidae,Pseudemys nelsoni,Florida Red-bellied Cooter,296,449,,,,,,,,,,COMMON,,,,"Ponds, lakes, sloughs, marshes, and mangrove-bordered creeks.",8,13.3,Active year round and often seen basking on logs or floating mats of vegetation. ,Diurnal,Spring Summer Fall Winter,Least Concern,Aquatic vegetation.,Alligators.
H0085,Reptilia,Testudines,Emydidae,Pseudemys floridana floridana,Florida Cooter,288,449,,,,,,,,,,ABUNDANT,,,,"Large ponds, lakes, spring runs, canals, and sluggish rivers with abundant aquatic vegetation and basking sites.",7.5,15.8,A gregarious basker. Sometimes encountered wandering on land.,Diurnal,Spring Summer Fall Winter,Least Concern,Plants and algae.,Otters and alligators.
H0086,Reptilia,Testudines,Emydidae,Malaclemys terrapin macrospilota,Ornate Diamondback Terrapin,298,466,,,,,,,,,,COMMON,,,,"Salt-marsh estuaries, tidal flats, and lagoons behind barrier beaches.",6,8,Adults are often seen basking on mud flats.,Diurnal,Spring Summer Fall Winter,Vulnerable,"Snails, mollusks, crustaceans, fish, insects, and carrion.","Raccoons, foxes, and rats."
H0087,Reptilia,Testudines,Emydidae,Deirochelys reticularia chrysea,Florida Chicken Turtle,285,457,,,,,,,,,,COMMON,,,,Shallow ponds and lakes with dense vegetation; also ditches and cypress swamps. Found on both water and land.,4,10,"It is often observed basking or encountered wandering on land. It is generally shy, but most bite. Basks on rocks, logs, and other emergent structures. They prefer water with plenty of aquatic vegetation and a soft substrate.",Diurnal,Spring Summer Fall Winter,Least Concern,"Crustaceans, insects, fish, and plants.",Raccoons and snapping turtles.
H0088,Reptilia,Testudines,Testudinidae,Gopherus polyphemus,Gopher Tortoise,330,473,,,,,,,,,,COMMON,,,,Well-drained sandy areas between grasslands and forests. Prefers a thin tree canopy and plenty of low growing vegetation.,9.25,14.5,"A most adept digger, it makes unusually long burrows. The burrow serves as a shelter, where temperature and humidity remain relatively unchanged. Often other animals share the burrow, including small mammals, burrowing owls, snakes, frogs, toads, and invertebrates. On cool days, they bask at the burrow entrance before foraging for grasses and leaves.",Diurnal,Spring Summer Fall,Vulnerable,"Grass, blackberries, cactus, legumes, and fungi.","Raccoons, coyotes, bobcats, skunks, hawks, bald eagles, and snakes."
