UniqueID,Class,Order,Family,ScientificName,CommonName,Ref,MichiganSleepingBear,GreatSmokyMountains,Acadia,YellowstoneGrandTeton,Glacier,JoshuaTree,Zion,Saguaro,MichiganIsleRoyale,Everglades,NorthCascadesOlympic,Redwoods,Yosemite,Habitat,LengthInches,WingspanInches,Notes,DailyActivity,YearlyActivity,IUCN,Diet,Predators
B0063,Aves,Charadriiformes,Scolopacidae,Numenius americanus,Long-Billed Curlew,221,,,,RARE - S/ UNCOMMON - S,RARE - S,,,,,,,RARE - A,,"High plains, rangeland. In winter, also cultivated land, tideflats, salt marshes. Breeding habitat is mostly native dry grassland and sagebrush prairie; may favor areas with some damp low spots nearby, to provide better feeding area for the young. May nest in pastures that are not too heavily grazed, rarely in agricultural fields. In migration and winter often in farm fields, marshes, coastal mudflats, in addition to grasslands.",,,,,,,,
B0064,Aves,Charadriiformes,Scolopacidae,Calidris virgata,Surfbird,224,,,,,,,,,,,N/ COMMON - W,RARE - W,,"Rocky coasts; nests on mountain tundra. During migration and winter, mostly on rocky outer coasts and islands, also on stone jetties and breakwaters. Sometimes on sandy beaches or mudflats, especially during brief stops on migration. In summer, breeds on rather barren, rocky tundra above treeline in northern mountains.",,,,,,,,
B0065,Aves,Charadriiformes,Scolopacidae,Arenaria interpres,Ruddy Turnstone,225,,,,,,,,,,COMMON - W,,RARE - W,,"Beaches, mudflats, jetties, rocky shores; in summer, tundra. Mostly coastal in migration and winter, favoring rocky shorelines, rock jetties, or beaches covered with seaweed or debris. May also feed on mudflats or on plowed fields near coast. Nests on open ground in arctic, including wet tundra and dry rocky ridges.",,,,,,,,
B0066,Aves,Charadriiformes,Scolopacidae,Phalaropus tricolor,Wilsons Phalarope,234,,,,UNCOMMON - S/ COMMON - S,RARE - S,,,,,,,,,"Shallow prairie lakes, fresh marshes, mudflats; in migration, also salt marshes. Nests mostly at shallow fresh-water marshes in open country. In migration, may stop at ponds, coastal marshes, sewage treatment plants, but biggest concentrations are at salty or alkaline lakes. Winters mostly on salty lakes in South America.",,,,,,,,
B0067,Aves,Charadriiformes,Scolopacidae,Actitis macularius,Spotted Sandpiper,228,COMMON - S,,COMMON - S,S COMMON/ UNCOMMON - S,COMMON - S,,COMMON  - A,,COMMON - S,COMMON - W,COMMON - A/ COMMON  - A,COMMON - A,,"Pebbly lake shores, ponds, streamsides; in winter, also seashores. Breeds near the edge of fresh water in a wide variety of settings, including lakes, ponds, rivers, streams, in either open or wooded country. In migration and winter also found along coast on mudflats, beaches, breakwaters; also on such inland habitats as sewage ponds, irrigation ditches.",,,,,,,,
B0068,Aves,Charadriiformes,Scolopacidae,Limnodromus griseus,Short-Billed Dowitcher,236,,,,,,,,,,ABUNDANT - W,,,,"Mudflats, tidal marshes, pond edges. Migrants and wintering birds favor coastal habitats, especially tidal flats on protected estuaries and bays, also lagoons, salt marshes, sometimes sandy beaches. Migrants also stop inland on freshwater ponds with muddy margins. Breeds in far north, mostly in open bogs, marshes, and edges of lakes within coniferous forest zone.",,,,,,,,
B0069,Aves,Charadriiformes,Scolopacidae,Gallinago delicata,Wilsons Snipe,237,,,RARE - S,COMMON - A/ N,,,,,,UNCOMMON - W,OCCASIONAL - A/ N,,,"Marshes, bogs, wet meadows. In migration and winter found in a variety of damp habitats including fresh and salt marshes, muddy banks of rivers and ponds, wet pastures, flooded agricultural fields. In breeding season mostly around fresh marshes and bogs, shrubby streamsides, northern tundra.",,,,,,,,
B0070,Aves,Charadriiformes,Scolopacidae,Limosa fedoa,Marbled Godwit,223,,,,,,,,,,COMMON - W,,,,"Prairies, pools, shores, tideflats. Breeds mostly on northern Great Plains, in areas of native prairie with marshes or ponds nearby. Localized populations also nest on tundra at James Bay, Ontario, and on Alaska Peninsula. In migration and winter around tidal mudflats, marshes, ponds, mainly in coastal regions.",,,,,,,,
B0071,Aves,Charadriiformes,Scolopacidae,Scolopax minor,American Woodcock,237,COMMON - S,UNCOMMON - S,COMMON - S,,,,,,UNCOMMON - S,RARE - W,,,,"Wet thickets, moist woods, brushy swamps. Favors a mix of forest and open fields, often spending day in the forest, night in the open. Mostly in deciduous or mixed woods with much young growth and moist soil, such as thickets along streams. At night may be in open pastures, abandoned farm fields, open swamp edges.",,,,,,,,
B0072,Aves,Charadriiformes,Recurvirostridae,Recurvirostra americana,American Avocet,238,,,,,RARE - S,,UNKNOWN - S,,,UNCOMMON - W,,OCCASIONAL - A,OCCASIONAL - A,"Beaches, flats, shallow lakes, prairie ponds. Widespread on shallow waters and extensive mudflats, both along coast and in the interior. Typically in very open situations, with little vegetation. Inland, often favors salty or alkaline lakes more than fresh waters.",,,,,,,,
B0073,Aves,Charadriiformes,Recurvirostridae,Himantopus mexicanus,Black-Necked Stilt,238,,,,,,,UNCOMMON - S,,,COMMON - A,,,OCCASIONAL - A,"Grassy marshes, mudflats, pools, shallow lakes (fresh and alkaline). Found at all seasons at the margins of shallow water in very open country, especially where there is much marsh growth. For nesting, requires bare open ground near water, with little vegetation. Often found in the same places as American Avocet, but the stilt is more partial to fresh water.",,,,,,,,
B0074,Aves,Ciconiiformes,Ciconiidae,Mycteria americana,Wood Stork,157,,,,,,,,,,COMMON - A,,,,"Cypress swamps (nesting colonies); marshes, ponds, lagoons. Forages mainly in fresh water, including shallow marshes, flooded farm fields, ponds, ditches. Favors falling water levels (when fish and other prey likely to be more concentrated in remaining pools). Nests mainly in stands of tall cypress, also sometimes in mangroves, dead trees in flooded impoundments.",,,,,,,,
B0075,Aves,Suliformes,Fregatidae,Fregata magnificens,Magnificent Frigatebird,91,,,,,,,,,,COMMON - A,,,,"Oceanic coasts, islands. Occurs over warm waters, usually along coast but also far offshore at times. Also soars inland in coastal areas (for example, crosses isthmus of Panama from one ocean to the other). Strays are rarely seen far inland around fresh water. Nests on islands, usually small islands with dense growth of mangroves or other trees or shrubs.",,,,,,,,
B0076,Aves,Pelecaniformes,Pelecanidae,Pelecanus erythrorhynchos,American White Pelican,86,,,,COMMON - S,,,,,,ABUNDANT - A,,,,"Lakes, marshes, salt bays. In breeding season mostly inland, nesting on isolated islands in lakes and feeding on shallow lakes, rivers, marshes. Feeding areas may be miles from nesting sites. Also breeds locally on coastal islands. Flocks in migration stop on lakes, rivers. Winters mainly along coast, on shallow, protected bays and estuaries, also on large lakes in warm climates.",,,,,,,,
B0077,Aves,Pelecaniformes,Phalacrocoracidae,Nannopterum auritum,Double-Crested Cormorant,92,UNCOMMON - S,,ABUNDANT - S,UNCOMMON - S/ COMMON - S,RARE - S,,,,COMMON - S,ABUNDANT - A,N/ ABUNDANT - A,ABUNDANT - A,OCCASIONAL - S,"Coasts, bays, lakes, rivers. Very adaptable, may be found in almost any aquatic habitat, from rocky northern coasts to mangrove swamps to large reservoirs to small inland ponds. Nests in trees near or over water, on sea cliffs, or on ground on islands.",,,,,,,,
B0078,Aves,Pelecaniformes,Anhingidae,Anhinga anhinga,Anhinga,95,,,,,,,,,,COMMON - A,,,,"Cypress swamps, rivers, wooded ponds. Mostly on quiet and sheltered waters, such as freshwater marshes, slow-moving rivers through cypress swamps, inlets and lagoons lined with mangroves, lakes with standing dead trees.",,,,,,,,
B0079,Aves,Pelecaniformes,Ardeidae,Ardea herodias,Great Blue Heron,146,COMMON - S,UNCOMMON - S,COMMON - S,S COMMON/ N,UNCOMMON - S,,,,COMMON - S,COMMON - A,UNCOMMON - A/ UNCOMMON - A,COMMON - A,UNCOMMON - A,"Marshes, swamps, shores, tideflats. Very adaptable. Forages in any kind of calm fresh waters or slow-moving rivers, also in shallow coastal bays. Nests in trees or shrubs near water, sometimes on ground in areas free of predators. Great White form is mostly in salt water habitats.",,,,,,,,
B0080,Aves,Pelecaniformes,Ardeidae,Butorides virescens,Green Heron,150,UNCOMMON - S,RARE - S,UNCOMMON - S,,,,,,,COMMON - A,OCCASIONAL - S/ N,UNCOMMON - A,,"Lakes, ponds, marshes, swamps, streamsides. May be found foraging in practically any aquatic habitat, but most common around small bodies of fresh water, especially those lined with trees, shrubs, tall marsh vegetation. Nests in a wide variety of situations, including willow thickets, mangroves, dry woods, open marsh.",,,,,,,,
B0081,Aves,Pelecaniformes,Ardeidae,Botaurus lentiginosus,American Bittern,152,RARE - S,,COMMON - S,UNKNOWN - S/ UNCOMMON - S,UNKNOWN - S,,,,UNCOMMON - S,UNCOMMON - W,OCCASIONAL - A/ N,RARE - A,OCCASIONAL - S,"Marshes, reedy lakes. Breeds in freshwater marshes, mainly large, shallow wetlands with much tall marsh vegetation (cattails, grasses, sedges) and areas of open shallow water. Winters in similar areas, also in brackish coastal marshes. Sometimes feeds in dry grassy fields.",,,,,,,,
B0082,Aves,Pelecaniformes,Ardeidae,Ardea alba,Great Egret,147,,,OCCASIONAL - S,,,,,,,ABUNDANT - A,,COMMON - A,,"Marshes, ponds, shores, mud flats. Usually forages in rather open situations, as along edges of lakes, large marshes, shallow coastal lagoons and estuaries; also along rivers in wooded country. Usually nests in trees or shrubs near water, sometimes in thickets some distance from water, sometimes low in marsh.",,,,,,,,
B0083,Aves,Pelecaniformes,Ardeidae,Egretta thula,Snowy Egret,148,,,RARE - S,,,,,,,ABUNDANT - A,,RARE - A,,"Marshes, swamps, ponds, shores. Widespread in many types of aquatic habitats, including fresh and salt water; in coastal areas, may seek sheltered bays. Inland, favors extensive marshes and other large wetlands. Sometimes forages in dry fields. Nests in colonies in trees, shrubs, mangroves, sometimes on or near the ground in marshes.",,,,,,,,
B0084,Aves,Pelecaniformes,Ardeidae,Egretta tricolor,Tricolored Heron,150,,,,,,,,,,ABUNDANT - A,,,,"Marshes, swamps, streams, shores. Mainly in waters of coastal lowlands. In breeding season usually near salt water, on shallow, sheltered estuaries and bays, tidal marshes, mangrove swamps. Also locally inland around freshwater marshes, lakes, rivers. Nests in colonies in trees, mangroves, or scrub near water.",,,,,,,,
B0085,Aves,Pelecaniformes,Ardeidae,Egretta caerulea,Little Blue Heron,149,,,,,,,,,,ABUNDANT - A,,,,"Marshes, swamps, rice fields, ponds, shores. In North America most numerous on fresh waters inland, around river swamps and marshy lakes. Also feeds in wet meadows and even dry fields. Less commonly feeds in salt water, although it may favor such habitat in the Caribbean. Nests in trees or in dense low thickets near water.",,,,,,,,
B0086,Aves,Pelecaniformes,Ardeidae,Ixobrychus exilis,Least Bittern,152,UNCOMMON - S,,RARE - S,,,,,,,COMMON - A,,,,"Fresh marshes, reedy ponds. Mostly freshwater marsh but also brackish marsh, in areas with tall, dense vegetation standing in water. May be over fairly deep water, because it mostly climbs in reeds rather than wading. Sometimes in salt marsh or in mangroves.",,,,,,,,
B0087,Aves,Pelecaniformes,Ardeidae,Nycticorax nycticorax,Black-Crowned Night-heron,153,UNKNOWN - S,,OCCASIONAL - S,,OCCASIONAL - S,,,,OCCASIONAL - S,COMMON - A,,COMMON - A,,"Marshes, shores; roosts in trees. Found in a wide variety of aquatic habitats, around both fresh and salt water, including marshes, rivers, ponds, mangrove swamps, tidal flats, canals, ricefields. Nests in groves of trees, in thickets, or on ground, usually on islands or above water, perhaps to avoid predators.",,,,,,,,
B0088,Aves,Pelecaniformes,Ardeidae,Nyctanassa violacea,Yellow-Crowned Night-Heron,153,,,,,,,,,,COMMON - A,,,,"Cypress swamps, mangroves, bayous, streams. Commonly occurs in shallow tidal waters, also along lowland rivers, where trees or other heavy cover nearby. Seldom in open marshes. Nests in mangrove or cypress swamps, riverside groves, thickets near water. Sometimes nests in trees within suburbs or cities.",,,,,,,,
B0089,Aves,Pelecaniformes,Threskiornithidae,Plegadis chihi,White-Faced Ibis,155,,,,RARE - S/ UNCOMMON - S,,,,,,,,,,"Fresh marshes, irrigated land, tules. For foraging, favors very shallow water, as in marshes, flooded pastures, irrigated fields. Sometimes in damp meadows with no standing water. Prefers fresh water marsh, but sometimes forages in salt marsh.",,,,,,,,
B0090,Aves,Pelecaniformes,Threskiornithidae,Platalea ajaja,Roseate Spoonbill,156,,,,,,,,,,COMMON - A,,,,"Coastal marshes, lagoons, mudflats, mangrove keys. Forages in shallow water with muddy bottom, in both salt and fresh water, including tidal ponds, coastal lagoons, extensive inland marshes. Nests in colonies, in Florida mainly in red mangroves, farther west in willows or on coastal islands in low scrub, including mesquite and salt cedar.",,,,,,,,
B0091,Aves,Pelecaniformes,Threskiornithidae,Eudocimus albus,White Ibis,154,,,,,,,,,,ABUNDANT - A,,,,"Salt, brackish, and fresh marshes, rice fields, mangroves. May forage in any kind of shallow water, commonly flying to feed in fresh water even in coastal regions. Foraging sites include marshes, mudflats, flooded pastures, lake edges, mangrove lagoons, grassy fields. Nests in mangroves, swamps, dense thickets, or marshes.",,,,,,,,
B0092,Aves,Pelecaniformes,Threskiornithidae,Plegadis falcinellus,Glossy Ibis,155,,,,,,,,,,COMMON - A,,,,"Marshes, rice fields, swamps. Forages in shallow waters, favoring marshes (either fresh or salt), flooded fields, shallow ponds, estuaries. Nests in low stands of willows and other shrubs surrounded by marsh, on ground in spartina marsh, in dense thickets of trees and shrubs on higher ground, sometimes in mangroves.",,,,,,,,
B0093,Aves,Gruiformes,Gruidae,Aramus guarauna,Limpkin,154,,,,,,,,,,COMMON - A,,,,"Fresh swamps, marshes. In Florida, found in open fresh-water marshes, along the shores of ponds and lakes, and in wooded swamps along rivers and near springs; locally in river swamps in Georgia. Throughout most of its tropical range, its habitat and distribution are dictated by the presence of apple snails (Pomacea).",,,,,,,,
B0094,Aves,Gruiformes,Gruidae,Antigone canadensis,Sandhill Crane,147,UNCOMMON - S,,,COMMON - S,RARE - S,,,,UNCOMMON - S,,,,,"Prairies, fields, marshes, tundra. Habitat varies with region, but usually nests around marshes or bogs, either in open grassland or surrounded by forest. Northernmost birds nest on marshy tundra. In migration and winter, often around open prairie, agricultural fields, river valleys.",,,,,,,,
B0095,Aves,Gruiformes,Rallidae,Porzana carolina,Sora,160,UNCOMMON - S,,COMMON - S,COMMON - S,UNCOMMON - S,,UNKNOWN - A,,RARE - S,COMMON - A,,OCCASIONAL - A,,"Fresh marshes, wet meadows; in winter, also salt marshes. Occurs in a variety of marshy situations, from extensive river marshes to grassy edges of small ponds. Also in damp meadows, and sometimes in tall-grass fields some distance from water. Breeds mostly in freshwater habitat with large stands of cattails, but moves into salt marshes at times, especially in winter.",,,,,,,,
B0096,Aves,Gruiformes,Rallidae,Rallus limicola,Virginia Rail,160,UNCOMMON - S,,RARE - S,RARE - S/ UNCOMMON - S,,,,,OCCASIONAL - S,RARE - W,OCCASIONAL - A/ RARE - A,COMMON - A,RARE - S,"Fresh and brackish marshes; in winter, also salt marshes. Nests in a variety of marshy situations, mostly fresh, but also brackish marsh near coast. Where this species and Sora breed in same marshes, Virginia Rail typically places its nest in drier spots. Often moves into salt marshes in winter. During migration, sometimes found in odd spots, even city streets.",,,,,,,,
B0097,Aves,Gruiformes,Rallidae,Rallus elegans,King Rail,161,,,,,,,,,,COMMON - A,,,,"Fresh and brackish marshes, rice fields, swamps. Sometimes salt marshes in winter. Will use a variety of habitats with shallow fresh or brackish water and dense cover. Important plants include cattails, bulrushes, spartina, and others. May be in brushy swamps with many willows, or in flooded rice fields.",,,,,,,,
B0098,Aves,Gruiformes,Rallidae,Fulica americana,American Coot,162,UNCOMMON - S,,UNKNOWN - S,ABUNDANT - S/ COMMON - S,COMMON - S,,,,OCCASIONAL - S,,,COMMON - A,,"Ponds, lakes, marshes; in winter, also fields, park ponds, salt bays. For breeding season requires fairly shallow fresh water with much marsh vegetation. At other seasons may be in almost any aquatic habitat, including ponds or reservoirs with bare shorelines, open ground near lakes, on salt marshes or protected coastal bays. Migrants sometimes are seen out at sea some distance from land.",,,,,,,,
B0099,Aves,Gruiformes,Rallidae,Porphyrio martinicus,Purple Gallinule,163,,,,,,,,,,COMMON - A,,,,"Fresh swamps, marshes, ponds. In North America usually in extensive wetlands with still or slow-moving shallow water, lots of dense marsh cover and floating vegetation. In tropics may be found also on smaller ponds, ditches. During migration, individuals may stop over in odd habitats, even in cities.",,,,,,,,
B0100,Aves,Gruiformes,Rallidae,Gallinula galeata,Common Gallinule,162,,,,,,,,,,COMMON - A,,,,"Fresh marshes, reedy ponds. May be on still or slow-moving waters. Favors fresh marshes with some open water, ideally with some open ground and some dense cover along margins. Sometimes on more open ponds with only small amount of marsh cover. Found with American Coot in many places, but requires more marsh growth.",,,,,,,,
B0101,Aves,Galliformes,Odontophoridae,Colinus virginianus,Northern Bobwhite,166,UNKNOWN - A,RARE - A,,,,,,,,,,,,"Farms, brushy open country, roadsides, wood edges. Found in a wide variety of semi-open habitats, including brushy meadows, overgrown fields, or where pastures or agricultural fields are next to hedgerows or woodlots. Masked Bobwhite of southwest inhabits ungrazed native grasslands.",,,,,,,,
B0102,Aves,Galliformes,Odontophoridae,Callipepla californica,California Quail,168,,,,,,,,,,,RARE - A/ UNCOMMON - A,ABUNDANT - A,COMMON - A,"Broken chaparral, woodland edges, coastal scrub, parks, farms. May be most common in open oak woodland and in streamside growth bordered by chaparral, but also found in suburbs, semi-desert situations, pinyon-juniper woods, grassland, coastal sage scrub. Where introduced farther inland, may be in other brushy habitats. Avoids mountains.",,,,,,,,
B0103,Aves,Galliformes,Odontophoridae,Oreortyx pictus,Mountain Quail,169,,,,,,,,,,,,UNCOMMON - A,COMMON - A,"Dense brush in wooded foothills and mountains. Most common in pine-oak woodland, coniferous forest, and chaparral; sometimes in pinyon-juniper woods or in scrub at lower elevations. May be common in areas of second-growth brush after fires or clearcuts. Requires dense low thickets for cover. During hot weather, rarely found more than a mile from water.",,,,,,,,
B0104,Aves,Galliformes,Odontophoridae,Callipepla gambelii,Gambels Quail,168,,,,,,COMMON - A,COMMON - A,ABUNDANT - A,,,,,,"Brushy desert, canyons. May be in very dry country, but concentrates near sources of water. Favors typical Sonoran desert, with open ground and wide variety of shrubs, low trees, and cactus; often around mesquite thickets. Avoids unbroken grassland with no shrubs. May be common in open suburbs where some land is left undeveloped.",,,,,,,,
B0105,Aves,Galliformes,Odontophoridae,Callipepla squamata,Scaled Quail,169,,,,,,,,OCCASIONAL - A,,,,,,"Grasslands, brush, arid country. Prime habitat is flat open country or rolling hills, supporting a mix of grasses with annual weeds, with scattered shrubs for additional cover and shade. Also found where grassland grades into other open habitat types such as desert, juniper slopes, dry brush.",,,,,,,,
B0106,Aves,Galliformes,Phasianidae,Perdix perdix,Gray Partridge,167,,,,UNKNOWN - A/ UNKNOWN - A,UNKNOWN - A,,,,,,,,,"Cultivated land, hedgerows, bushy pastures, meadows. Mostly lives in grasslands and agricultural fields. Farmland is excellent habitat as long as hedgerows and shelterbelts are left between fields. In winter often in stubble fields, moving into edges of woodlots in harsh weather.",,,,,,,,
B0107,Aves,Galliformes,Phasianidae,Dendragapus obscurus,Dusky Grouse,172,,,,COMMON - A,UNCOMMON - A,,,,,,UNKNOWN - A/ UNKNOWN - A,COMMON - A,UNKNOWN - A,"Deciduous and mixed forests in mountains in summer; conifer forests at higher elevations in winter. Prime summer habitat is where forest meets open country, such as sagebrush flats. In winter, these birds favor dense forests of conifers.",,,,,,,,
B0108,Aves,Galliformes,Phasianidae,Bonasa umbellus,Ruffed Grouse,173,UNCOMMON - A,UNCOMMON - S,COMMON - A,COMMON - A,COMMON - A,,,,,,COMMON - A/ COMMON - A,,,"Deciduous and mixed forests, especially those with scattered clearings and dense undergrowth; overgrown pastures.",,,,,,,,
B0109,Aves,Galliformes,Phasianidae,Phasianus colchicus,Ring-Necked Pheasant,175,UNCOMMON - A,,UNKNOWN - A,,OCCASIONAL - A,,UNCOMMON - A,,,,,,,"Farms, fields, marsh edges, brush. May live in any semi-open habitat. Sometimes in open grassland but more often in brushy meadows, woodland edges, hedgerows, farmland with mixed crops. Access to water may be important; pheasants are often common around edges of marshes, and are rarely found in very arid places.",,,,,,,,
B0110,Aves,Galliformes,Phasianidae,Centrocercus urophasianus,Greater Sage-Grouse,176,,,,N/ UNCOMMON - A,,,,,,,,,,"Sagebrush plains; also foothills and mountain slopes where sagebrush grows. Found on open plains, high valleys, rocky mesas, mountainsides, but only in vicinity of sagebrush. Prime nesting habitat includes some lower wet areas where young can forage for insects. In very dry country, may fly several miles to a source of water in morning and evening.",,,,,,,,
B0111,Aves,Galliformes,Phasianidae,Meleagris gallopavo,Wild Turkey,177,COMMON - A,UNCOMMON - A,UNKNOWN - A,,,,COMMON - A,RARE - A,,RARE - A,,,RARE - A,"Woods, mountain forests, wooded swamps. Habitats vary in different parts of continent, include oak-hickory forest, pine-oak forest, cypress swamps, arid mesquite grassland, pinyon-juniper woodland, chaparral. Usually found near some kind of oak (acorns are a favorite food). Best habitat includes a mixture of woodland and open clearings.",,,,,,,,
B0112,Aves,Cathartiformes,Cathartidae,Cathartes aura,Turkey Vulture,182,COMMON - S,COMMON - A,COMMON - S,UNCOMMON - S/ COMMON - S,RARE - S,COMMON - A,COMMON - S,COMMON - A,OCCASIONAL - S,COMMON - A,UNCOMMON - S/ COMMON - S,COMMON - S,RARE - S,"Widespread over open country, woods, deserts, foothills. Most common over open or semi-open country, especially within a few miles of rocky or wooded areas providing secure nesting sites. Generally avoids densely forested regions. Unlike Black Vulture, regularly forages over small offshore islands.",,,,,,,,
B0113,Aves,Accipitriformes,Pandionidae,Pandion haliaetus,Osprey,183,UNCOMMON - S,OCCASIONAL - S,COMMON - S,COMMON - S,UNCOMMON - S,RARE - W,,,UNCOMMON - S,COMMON - A,COMMON - S/ UNCOMMON - S,,,"Rivers, lakes, coast. Found near water, either fresh or salt, where large numbers of fish are present. May be most common around major coastal estuaries and salt marshes, but also regular around large lakes, reservoirs, rivers. Migrating Ospreys are sometimes seen far from water, even over the desert.",,,,,,,,
B0114,Aves,Accipitriformes,Accipitridae,Circus hudsonius,Northern Harrier,184,UNCOMMON - S,UNCOMMON - W,UNCOMMON - S,UNCOMMON - A/ COMMON - A,UNCOMMON - A,UNCOMMON - W,UNCOMMON - W,RARE - W,UNCOMMON - S,COMMON - W,UNCOMMON - A/ COMMON - A,COMMON - A,RARE - S,"Marshes, fields, prairies. Found in many kinds of open terrain, both wet and dry habitats, where there is good ground cover. Often found in marshes, especially in nesting season, but sometimes will nest in dry open fields.",,,,,,,,
B0115,Aves,Accipitriformes,Accipitridae,Rostrhamus sociabilis,Everglade Snail Kite,186,,,,,,,,,,UNCOMMON - A,,,,"Fresh marshes and canals. In Florida, found at large freshwater lakes and marshes. Favors shallow waters, with stands of sawgrass and cattails mixed with areas of open water and with a few shrubs or low trees. In the American tropics, also in wet savannahs, rice fields, sugarcane fields.",,,,,,,,
B0116,Aves,Accipitriformes,Accipitridae,Elanoides forficatus,Swallow-Tailed Kite,186,,,,,,,,,,COMMON - S,,,,"Wooded river swamps. Requires tall trees for nesting and nearby open country with abundant prey. In North America found mostly in open pine woods near marsh or prairie, cypress swamps, other riverside swamp forest. In tropics, also found in lowland rain forest and mountain cloud forest.",,,,,,,,
B0117,Aves,Accipitriformes,Accipitridae,Elanus leucurus,White-Tailed Kite,187,,,,,,,,,,RARE - A,,UNCOMMON - A,OCCASIONAL - A,"Open groves, river valleys, marshes, grasslands. Found in a wide variety of open habitats in North America, including open oak grassland, desert grassland, farm country, marshes. Main requirements seem to be trees for perching and nesting, and open ground with high populations of rodents.",,,,,,,,
B0118,Aves,Accipitriformes,Accipitridae,Accipiter gentilis,Northern Goshawk,188,UNCOMMON - A,,UNCOMMON - A,UNCOMMON - A,UNCOMMON - A,,,,UNCOMMON - A,,RARE - A/ UNCOMMON - A,OCCASIONAL - A,UNCOMMON - A,"Coniferous and mixed forests. Generally restricted to wooded areas, but may be in relatively open woods or along edges. Often more common as a breeding bird in mixed woods than in pure stands of coniferous trees. During winter incursions to the south, may be found in any forest type.",,,,,,,,
B0119,Aves,Accipitriformes,Accipitridae,Accipiter cooperii,Coopers Hawk,189,UNCOMMON - A,OCCASIONAL - A,UNCOMMON - A,UNCOMMON - S,UNCOMMON - A,,COMMON - A,,RARE - A,,,,,"Mature forest, open woodlands, wood edges, river groves. Nests in coniferous, deciduous, and mixed woods, typically those with tall trees and with openings or edge habitat nearby. Also found among trees along rivers through open country, and increasingly in suburbs and cities where some tall trees exist for nest sites. In winter may be in fairly open country, especially in west.",,,,,,,,
B0120,Aves,Accipitriformes,Accipitridae,Accipiter striatus,Sharp-Shinned Hawk,189,COMMON - A,UNCOMMON - A,COMMON - A,UNCOMMON - A,UNCOMMON - A,,,,UNCOMMON - A,,UNCOMMON - W/ UNCOMMON,UNCOMMON - W,RARE - W,"Mixed or coniferous forests, open deciduous woodlands, thickets, edges. Usually nests in groves of coniferous trees in mixed woods, sometimes in dense deciduous trees or in pure coniferous forest with brush or clearings nearby. In winter found in any kind of forest or brushy area, but tends to avoid open country.",,,,,,,,
B0121,Aves,Accipitriformes,Accipitridae,Buteo platypterus,Broad-Winged Hawk,192,UNCOMMON - S,COMMON - S,COMMON - S,,,,,,COMMON - S,COMMON - W,,,,"Woods, groves. Typically breeds in deciduous forest or mixed coniferous-deciduous forest, often near water and near clearings or edges. Migrants may be seen over any kind of open country, but tend to stop for the night in forest or extensive groves of trees.",,,,,,,,
B0122,Aves,Accipitriformes,Accipitridae,Buteo lineatus,Red-Shouldered Hawk,194,COMMON - S,UNCOMMON - A,OCCASIONAL - S,,,,,,,COMMON - A,,,,"Bottomland woods, wooded streamsides, swamps. In east, nests in deciduous and mixed forest, with tall trees and relatively open understory, often along rivers and swamps. May move into more open habitats in winter. In west, typically in riverside forest or in oak woodland, sometimes in eucalyptus groves. Florida birds may be in pine woods, mangroves.",,,,,,,,
B0123,Aves,Accipitriformes,Accipitridae,Buteo swainsoni,Swainsons Hawk,195,,,,COMMON - S,RARE - S,,,UNCOMMON - S,,,,,,"Plains, dry grassland, farmland, ranch country. Breeds most commonly on northern Great Plains, in prairie regions with scattered groves of trees for nest sites. Less common in dry grassland farther west and in heavily farmed country. In migration, often pauses in fields where insect larvae may have been turned up by the plow.",,,,,,,,
B0124,Aves,Accipitriformes,Accipitridae,Buteo jamaicensis,Red-Tailed Hawk,196,COMMON - A,UNCOMMON - A,COMMON - A,ABUNDANT - A/ COMMON - A,COMMON - A,COMMON - A,COMMON - A,COMMON - A,RARE - A,COMMON - A,UNCOMMON - A/ COMMON - A,ABUNDANT - A,COMMON - A,"Open country, woodlands, prairie groves, mountains, plains, roadsides. Found in any kind of terrain that provides both some open ground for hunting and some high perches. Habitats may include everything from woodland with scattered clearings to open grassland or desert with a few trees or utility poles.",,,,,,,,
B0125,Aves,Accipitriformes,Accipitridae,Buteo lagopus,Rough-Legged Hawk,198,UNCOMMON - W,,UNCOMMON - W,COMMON - W/ UNCOMMON - W,,,,,,,,RARE - W,RARE - W,"Tundra escarpments, arctic coasts; in winter, open fields, plains, marshes. Spends the winter in open country, including grasslands, coastal prairies and marshes, farmland, dunes. Breeds mostly on tundra, in areas having cliffs for nest sites; some breed along northern edge of coniferous forest zone.",,,,,,,,
B0126,Aves,Accipitriformes,Accipitridae,Buteo regalis,Ferruginous Hawk,199,,,,UNCOMMON - S/ RARE - S,RARE - S,RARE - W,OCCASIONAL - W,UNKNOWN - W,,,,,,"Plains, prairies. Found at all seasons in very open and dry country. Inhabits dry grassland, sagebrush plains, saltbush and greasewood flats, rangeland, desert. In winter, also in agricultural country, including over plowed fields.",,,,,,,,
B0127,Aves,Accipitriformes,Accipitridae,Haliaeetus leucocephalus,Bald Eagle,200,UNCOMMON - A,,COMMON - A,COMMON - A,UNCOMMON - A,,,,UNCOMMON - A,COMMON - A,COMMON - A/ COMMON - A,UNCOMMON - W,RARE - W,"Coasts, rivers, large lakes; in migration, also mountains, open country. Typically close to water, also locally in open dry country. Occurs in a variety of waterside settings where prey is abundant, including swamps in Florida, edges of conifer forest in southeastern Alaska, treeless islands in Aleutians, desert rivers in Arizona. Also winters in some very dry western valleys.",,,,,,,,
